"region","value","period","indID","source","is_number","dsID"
"SYR","40859","2014-07-14 15:53:32","CHD.O.PRO.30.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SYR","42976","2014-07-10 00:00:00","CHD.O.PRO.30.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SYR","43600","2014-07-09 00:00:00","CHD.O.PRO.30.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SYR","45503","2014-07-07 00:00:00","CHD.O.PRO.30.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SYR","49579","2014-07-01 00:00:00","CHD.O.PRO.30.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SYR","55646","2014-07-01 00:00:00","CHD.O.PRO.30.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SYR","55916","2014-06-28 00:00:00","CHD.O.PRO.30.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SYR","55916","2014-06-30 16:25:08","CHD.O.PRO.30.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SYR","56331","2014-06-24 00:00:00","CHD.O.PRO.30.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SYR","56331","2014-06-24 14:20:41","CHD.O.PRO.30.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SYR","56118","2014-06-26 00:00:00","CHD.O.PRO.30.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SYR","64135","2014-06-17 00:00:00","CHD.O.PRO.30.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SYR","66580","2014-06-10 17:05:54","CHD.O.PRO.30.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SYR","57960","2014-06-19 16:15:55","CHD.O.PRO.30.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SYR","57960","2014-06-19 00:00:00","CHD.O.PRO.30.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SYR","58908","2014-06-18 00:00:00","CHD.O.PRO.30.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SYR","65708","2014-06-12 00:00:00","CHD.O.PRO.30.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SYR","66226","2014-06-11 17:58:51","CHD.O.PRO.30.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SYR","70272","2014-06-03 15:24:40","CHD.O.PRO.30.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SYR","70521","2014-06-02 17:10:16","CHD.O.PRO.30.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SYR","66714","2014-06-09 17:33:16","CHD.O.PRO.30.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","174436","2014-01-31","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","149322","2014-01-19","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","193737","2014-02-12","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","476208","2014-05-29","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","109659","2013-12-16","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","357589","2014-05-15","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","292762","2014-03-21","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","297109","2014-03-24","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
